Date,Solana - Average fees per user (AFPU) ($)
2022-09-05,0.254395
2022-09-12,0.24534714285714285
2022-09-19,0.25724800000000003
2022-09-26,0.23506971428571427
2022-10-03,0.27673857142857144
2022-10-10,0.2762942857142857
2022-10-17,0.3511547142857143
2022-10-24,0.4461442857142857
2022-10-31,0.38241214285714287
2022-11-07,0.21648599999999998
2022-11-14,0.1985964285714286
2022-11-21,0.22590357142857145
2022-11-28,0.2253747142857143
2022-12-05,0.25818414285714286
2022-12-12,0.22442642857142855
2022-12-19,0.2012097142857143
2022-12-26,0.17796614285714288
2023-01-02,0.1565607142857143
2023-01-09,0.21032742857142858
2023-01-16,0.27354557142857144
2023-01-23,0.3378632857142857
2023-01-30,0.362403
2023-02-06,0.38213400000000003
2023-02-13,0.3512568571428571
2023-02-20,0.3892652857142858
2023-02-27,0.4154575714285715
2023-03-06,0.41338728571428573
2023-03-13,0.3757325714285714
2023-03-20,0.3639241428571428
2023-03-27,0.3420957142857142
2023-04-03,0.33102471428571434
2023-04-10,0.37677857142857146
2023-04-17,0.2799872857142857
2023-04-24,0.29656800000000005
2023-05-01,0.17942242857142857
2023-05-08,0.16355214285714287
2023-05-15,0.20882614285714288
2023-05-22,0.3263327142857143
2023-05-29,0.37912500000000005
2023-06-05,0.302657
2023-06-12,0.27125257142857145
2023-06-19,0.32496328571428573
2023-06-26,0.3125511428571429
2023-07-03,0.39967657142857144
2023-07-10,0.4562257142857143
2023-07-17,0.45556157142857145
2023-07-24,0.5040457142857143
2023-07-31,0.478943
2023-08-07,0.5259494285714285
2023-08-14,0.47709899999999994
2023-08-21,0.460921
2023-08-28,0.4601861428571429
2023-09-04,0.4936881428571428
2023-09-11,0.4487305714285714
2023-09-18,0.4922397142857143
2023-09-25,0.456563
2023-10-02,0.49297314285714283
2023-10-09,0.5396731428571427
2023-10-16,0.5762995714285715
2023-10-23,0.6595172857142858
2023-10-30,0.6803298571428572
2023-11-06,0.7338325714285714
2023-11-13,0.6804355714285714
2023-11-20,0.6609342857142858
2023-11-27,0.7450824285714285
2023-12-04,0.5769794285714287
2023-12-11,0.6143091428571428
2023-12-18,0.9180559999999999
2023-12-25,1.4848258571428572
2024-01-01,1.3408172857142857
2024-01-08,1.117111
2024-01-15,1.3437228571428572
2024-01-22,1.1705167142857145
2024-01-29,1.2837362857142856
2024-02-05,1.2491247142857145
2024-02-12,1.1346137142857144
2024-02-19,0.8990281428571428
2024-02-26,0.7467414285714286
2024-03-04,1.2734082857142857
2024-03-11,2.5627452857142856
2024-03-18,3.36822
2024-03-25,2.4396175714285713
2024-04-01,2.8448242857142856
2024-04-08,2.074125857142857
2024-04-15,1.278674
2024-04-22,1.565948571428571
2024-04-29,1.286592857142857
2024-05-06,1.6868374285714283
2024-05-13,1.897561
2024-05-20,1.7262564285714284
2024-05-27,1.9159760000000001
2024-06-03,2.036047714285714
2024-06-10,1.7301425714285716
2024-06-17,1.642550142857143
2024-06-24,1.879026
2024-07-01,1.6229224285714285
2024-07-08,1.6131932857142857
2024-07-15,1.7293204285714283
2024-07-22,1.5870064285714285
2024-07-29,1.3501252857142856
2024-08-05,1.4837758571428572
2024-08-12,0.957684857142857
2024-08-19,0.65933
2024-08-26,0.32193
2024-09-02,0.18021585714285712
2024-09-09,0.1607472857142857
2024-09-16,0.20395299999999997
2024-09-23,0.3711068571428571
2024-09-30,0.4779291428571429
2024-10-07,0.31488542857142854
2024-10-14,0.4857367142857143
2024-10-21,0.7068505714285714
2024-10-28,0.5243114285714287
2024-11-04,0.637075142857143
2024-11-11,1.3652604285714285
2024-11-18,1.6928717142857141
2024-11-25,1.0632232857142856
2024-12-02,0.7951235714285715
2024-12-09,0.925121
2024-12-16,0.8263675714285714
2024-12-23,0.7502492857142856
2024-12-30,0.9082157142857143
2025-01-06,1.018285
2025-01-13,1.7164342857142856
2025-01-20,2.3397698571428576
2025-01-27,1.5785895714285714
2025-02-03,0.9846368571428572
2025-02-10,0.9273682857142856
2025-02-17,0.6268928571428571
2025-02-24,0.3728412857142857
2025-03-03,0.36010271428571433
2025-03-10,0.3398864285714286
2025-03-17,0.2509381428571429
2025-03-24,0.3347184285714286
2025-03-31,0.30534071428571424
2025-04-07,0.29764299999999994
2025-04-14,0.3210672857142857
2025-04-21,0.4096191428571428
2025-04-28,0.48628799999999994
2025-05-05,0.4879268571428571
2025-05-12,0.5970674285714287
2025-05-19,0.3212055714285714
2025-05-26,0.26397842857142856
2025-06-02,0.2370622857142857
2025-06-09,0.24608628571428573
2025-06-16,0.2586592857142857
2025-06-23,0.330315
2025-06-30,0.3601407142857143
2025-07-07,0.3697222857142858
2025-07-14,0.45881857142857146
2025-07-21,0.43954514285714286
2025-07-28,0.4116688571428572
2025-08-04,0.49601928571428566
2025-08-11,0.5764764285714286
2025-08-18,0.4710355714285715
2025-08-25,0.5763708571428572
2025-09-01,0.5097068571428572
